"id","title","mini_description","category_id","description","image","price","slug","manufacturer","power","temperature","protection","warranty","created_at","updated_at"
"311","PLW 012 Встраиваемый гипсовый светильник","Встраиваемый светильник направленного света. Корпус светильника изготовлен из гипса. Установка в ниши в стенах из гипсокартонных плит с помощью монтажных клипс. Допускается покраска гипсовой поверхности светильника после ее обработки грунтовкой.","22","Особенности  Установка Установка в стены   Конструкция Встраиваемый гипсовый светильник.   Оптическая часть Нет значения   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/bd/11/bd11206408afb61e22ecc341d68176cb.png",NULL,"plw-012-vstraivaemyi-gipsovyi-svetilnik","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"312","PLW 010 Встраиваемый гипсовый светильник","Встраиваемый светильник направленного света. Корпус светильника изготовлен из гипса. Установка в ниши в стенах из гипсокартонных плит с помощью монтажных клипс. Допускается покраска гипсовой поверхности светильника после ее обработки грунтовкой.","22","Особенности  Установка Установка в стены   Конструкция Встраиваемый гипсовый светильник.   Оптическая часть Нет значения   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/13/46/1346a75af7a2e7153d713cfa795fbac4.png",NULL,"plw-010-vstraivaemyi-gipsovyi-svetilnik","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"313","PLC 002 LED Встраиваемый светодиодный гипсовый светильник","Встраиваемый светодиодный светильник направленного света. Корпус светильника изготовлен из гипса, металлическая арматура окрашена белой краской, опаловый рассеиватель из ПММА. Установка в ниши в потолках из гипсокартонных плит с помощью монтажных клипс. Допускается покраска гипсовой поверхности светильника после ее обработки грунтовкой. Полностью интегрируется в архитектуру, создавая определенный световой эффект.","22","Особенности  Установка Установка в ниши в потолках из гиспокартонных плит с помощью монтажных клипс   Конструкция Корпус светильника изготовлен из гипса, металлическая арматура окрашена белой краской, опаловый рассеиватель из ПММА. Рассеиватель устанавливается в пазы корпуса.   Оптическая часть Рассеиватель из ПММА   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/8f/5b/8f5bda31c8a1a5e3182895f77d06177d.png",NULL,"plc-002-led-vstraivaemyi-svetodiodnyi-gipsovyi-svetilnik","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"314","PLW 009 Встраиваемый гипсовый светильник","Встраиваемый светильник направленного света. Корпус светильника изготовлен из гипса. Установка в ниши в стенах из гипсокартонных плит с помощью монтажных клипс. Допускается покраска гипсовой поверхности светильника после ее обработки грунтовкой.","22","Особенности  Установка Установка в стены   Конструкция Встраиваемый гипсовый светильник.   Оптическая часть Нет значения   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/0e/48/0e4857eaa85f7b9001559b765b0be4f1.png",NULL,"plw-009-vstraivaemyi-gipsovyi-svetilnik","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"315","PLC 004 Встраиваемый гипсовый светильник","Встраиваемый светильник направленного света. Корпус светильника изготовлен из гипса, металлическая арматура окрашена белой краской, рассеиватель из матового силикатного стекла. Допускается покраска гипсовой поверхности светильника после её обработки грунтовкой. Полностью интегрируется в архитектуру, создавая определенный  световой эффект.","22","Особенности  Установка Установка в ниши в потолках из гиспокартонных плит с помощью монтажных клипс   Конструкция Корпус светильника изготовлен из гипса, металлическая арматура окрашена белой краской, рассеиватель из матового силикатного стекла.   Оптическая часть Нет значения   Тип источника света ГЛН   Комплектация Светильник в сборе.","https://www.ltcompany.com/media/cache/07/45/07457013d2a71fd978234bd910da78a5.png",NULL,"plc-004-vstraivaemyi-gipsovyi-svetilnik","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"316","PROFILE R Встраиваемая профильная система","Профиль для создания декоративного освещения. Корпус изготовлен из экструдированного анодированного алюминия, рассеиватель из экструдированного поликарбонатного профиля. Торцевые крышки и крепежные элементы изготовлены из пластика. Предназначены для установки светодиодной ленты или кластеров.","23","Особенности  Установка На стену/потолок   Конструкция Корпус изготовлен из экструдированного анодированного алюминиевого профиля, рассеиватель из экструдированного поликарбонатного профиля. Торцевые крышки и крепежные элементы изготовлены из пластика.   Оптическая часть Рассеиватель из экструдированого поликарбонатного профиля   Тип источника света Нет значения   Комплектация Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/8b/07/8b07e5ca9c79345ffe687e8a1c0cf282.png",NULL,"profile-r-vstraivaemaia-profilnaia-sistema","Световые технологии",NULL,NULL,,"36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"317","FLEXLINE BRIGHT Светодиодная лента","Светодиодная лента предназначена для декоративной подсветки, создания общего освещения и различных световых эффектов, представлена в различных мощностях, как одноцветная, так и многоцветная - RGB.","23","Особенности  Установка Монтируется практически на любую ровную поверхность   Конструкция Светодиодная лента   Оптическая часть Нет значения   Тип источника света LED   Комплектация Светодиодная лента в сборе. Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/c7/c9/c7c9c55b632f4f93baf046cdfef509d9.png",NULL,"flexline-bright-svetodiodnaia-lenta","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"318","DRIVERS Драйверы для светодиодных светильников","Драйверы постоянного тока, предназначенный для работы светодиодных светильников.","23","Особенности  Установка Монтируется практически на любую ровную поверхность   Конструкция Драйверы   Оптическая часть Нет значения   Тип источника света Нет значения   Комплектация Изделие в сборе.   Дополнительная информация нет значения","https://www.ltcompany.com/media/cache/ef/98/ef986fae6ff24f48c774a81f108d07ac.png",NULL,"drivers-draivery-dlia-svetodiodnykh-svetilnikov","Световые технологии",NULL,NULL,"IP67","60","2020-03-08 00:00:00","2020-03-10 07:06:22"
"319","FLEXLINE COLOR Светодиодная лента","Светодиодная лента предназначена для декоративной подсветки, создания общего освещения и различных световых эффектов, представлена в различных мощностях, как одноцветная, так и многоцветная -  RGB.","23","Особенности  Установка Монтируется практически на любую ровную поверхность   Конструкция Светодиодная лента   Оптическая часть Нет значения   Тип источника света LED   Комплектация Светодиодная лента в сборе. Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/d4/fb/d4fbbe15ea96a2cd3fc63b0ee2fa9eb4.png",NULL,"flexline-color-svetodiodnaia-lenta","Световые технологии",NULL,NULL,"IP67","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"320","PROFILE Встраиваемая профильная система","Встраиваемая профильная система для создания как декоративных световых эффектов, так и для основного освещения. Корпус изготовлен из экструдированного анодированного алюминия, рассеиватель из экструдированого поликарбонатного пластика. Торцевые крышки из анодированного алюминия и крепежные элементы из оцинкованной стали поставляются отдельно. Внутрь корпуса устанавливается самоклеющаяся светодиодная лента.","23","Особенности  Установка Встраивается в разного рода поверхности   Конструкция Корпус изготовлен из экструдированного анодированного алюминиевого профиля, рассеиватель - из экструдированого поликарбонатного профиля. Торцевые крышки из анодированного алюминия и крепежные элементы из оцинкованной стали поставляются отдельно.   Оптическая часть Рассеиватель из экструдированого поликарбонатного профиля   Тип источника света Нет значения   Комплектация Система в сборе. Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/69/e0/69e085b89568194fa81da7098f44cd99.png",NULL,"profile-vstraivaemaia-profilnaia-sistema","Световые технологии",NULL,NULL,,"36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"321","PROFILE H Подвесная/накладная профильная система","Подвесная профильная система для создания как декоративных световых эффектов, так и для основного освещения. Корпус изготовлен из экструдированного анодированного алюминия, рассеиватель из экструдированого поликарбонатного пластика. Торцевые крышки, соединительные элементы и другие аксессуары поставляются отдельно. Конструкция PROFILE H предполагает установку питающего драйвера внутри профиля. Внутрь корпуса устанавливается самоклеющаяся светодиодная лента.","23","Особенности  Установка На потолок на подвесах   Конструкция Корпус изготовлен из экструдированного анодированного алюминиевого профиля, рассеиватель - из экструдированого поликарбонатного профиля. Торцевые крышки, соединительные элементы и другие аксессуары поставляются отдельно. Конструкция PROFILE H предполагает установку питающего драйвера внутри профиля.   Оптическая часть Рассеиватель из экструдированого поликарбонатного профиля   Тип источника света Нет значения   Комплектация Система в сборе. Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/22/93/2293333a2f3402c0356d2447015c64ae.png",NULL,"profile-h-podvesnaia-nakladnaia-profilnaia-sistema","Световые технологии",NULL,NULL,,"36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"322","PROFILE S Накладная профильная система","Профиль для создания декоративного освещения. Корпус изготовлен из экструдированного анодированного алюминия, рассеиватель из экструдированного поликарбонатного пластика. Торцевые крышки и крепежные элементы изготовлены из пластика. Предназначены для установки светодиодной ленты или кластера.","23","Особенности  Установка На стену/потолок   Конструкция Корпус изготовлен из экструдированного анодированного алюминиевого профиля, рассеиватель из экструдированного поликарбонатного профиля. Торцевые крышки и крепежные элементы изготовлены из пластика.   Оптическая часть Рассеиватель из экструдированого поликарбонатного профиля   Тип источника света Нет значения   Комплектация Система в сборе. Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/07/9d/079d5244c7cbac6fa7978ef39254b1da.png",NULL,"profile-s-nakladnaia-profilnaia-sistema","Световые технологии",NULL,NULL,,"36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"323","PROFILE L Подвесная/накладная профильная система","Подвесная профильная система для создания как декоративных световых эффектов, так и для основного освещения. Корпус изготовлен из экструдированного анодированного алюминия, рассеиватель из экструдированого поликарбонатного пластика. Торцевые крышки, соединительные элементы и другие аксессуары поставляются отдельно. Конструкция PROFILE L предполагает установку питающего драйвера в потолочную чашку или за подшивной потолок. Внутрь корпуса устанавливается самоклеющаяся светодиодная лента или кластер.","23","Особенности  Установка На потолок на подвесах   Конструкция Корпус изготовлен из экструдированного анодированного алюминиевого профиля, рассеиватель - из экструдированого поликарбонатного профиля. Торцевые крышки, соединительные элементы и другие аксессуары поставляются отдельно. Конструкция PROFILE L предполагает установку питающего драйвера в потолочную чашку или за подшивной потолок.   Оптическая часть Рассеиватель из экструдированого поликарбонатного профиля   Тип источника света Нет значения   Комплектация Система в сборе. Драйвер поставляется отдельно   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/97/e8/97e8a89586dbed421616f0ccb9772f4a.png",NULL,"profile-l-podvesnaia-nakladnaia-profilnaia-sistema","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
